Airport_ID,Name,Type,IATA
35401,Caleta Olivia Airport,small_airport,CVI
35403,Charata Airport,small_airport,CNT
35404,General Villegas Airport,small_airport,VGS
35405,Los Menucos Airport,small_airport,LMD
35409,Saenz Peña Airport,closed,SZQ
35412,Valcheta Airport,small_airport,VCF
39021,Sunchales Aeroclub Airport,small_airport,NCJ
42812,Carmen De Patagones Airport,small_airport,CPG
42884,Termal Airport,small_airport,PRQ
46645,Colonia Sarmiento Airport,small_airport,OLN
301707,Aragip Airport,small_airport,ARP
301832,Asbury Park Neptune Air Terminal,closed,ARX
32422,Tau Airport,small_airport,TAV
301732,Asirim Airport,small_airport,ASZ
301834,Namatanai Airport,small_airport,ATN
301672,Aitape Airport,small_airport,ATP
313838,Lady Elliot Island Airstrip,small_airport,LYT
30808,Baniyala Airport,small_airport,BYX
32109,Orchid Beach Airport,small_airport,OKB
32152,Peppimenarti Airport,small_airport,PEP
32474,Tom Price Airport,small_airport,TPR
301735,Aua Island Airport,small_airport,AUI
301693,Ambunti Airport,small_airport,AUJ
301668,Agaun Airport,small_airport,AUP
301737,Aumo Airport,small_airport,AUV
301838,Alowe Airport,small_airport,AWE
313134,Awar Airport,closed,AWR
314558,Alxa Left Banner Bayanhot Airport,medium_airport,AXF
307980,Kompiam Airport,small_airport,KPM
53,Buka Airport,medium_airport,BUA
311258,Biaru Airport,small_airport,BRP
54,Chimbu Airport,medium_airport,CMU
313962,Munduku Airport,small_airport,MDM
311717,Kondobol Airport,small_airport,KPF
311110,Dinangat Airport,small_airport,DNU
311116,Doini Airport,small_airport,DOI
55,Daru Airport,medium_airport,DAU
311135,Embessa Airport,small_airport,EMS
308012,Edwaki Airport,small_airport,XYR
311132,Eliptamin Airport,small_airport,EPT
311202,Engati Airstrip,small_airport,EGA
311200,Emo River Airstrip,small_airport,EMO
311205,Erume Airport,small_airport,ERU
313974,Meselia Airport,small_airport,MFZ
311370,Feramin Airport,small_airport,FRQ
307757,Frieda River Airport,small_airport,FAQ
311384,Fuma Airport,small_airport,FUM
56,Goroka Airport,medium_airport,GKA
311430,Guari Airport,small_airport,GUG
308005,Garasa Airport,small_airport,GRL
57,Gurney Airport,medium_airport,GUR
307709,Gusap Airport,small_airport,GAP
58,Girua Airport,medium_airport,PNP
311386,Gasuke Airport,small_airport,GBC
311468,Habi Airport,small_airport,HBD
311487,Heiweni Airport,small_airport,HNI
312918,Honinabi Airport,small_airport,HNN
59,Kimbe Airport,medium_airport,HKN
311472,Haivaro Airport,small_airport,HIT
312938,Imane Airport,small_airport,IMN
313419,Kungim Airport,small_airport,KGM
312964,Imonda Airport,small_airport,IMD
312934,Ialibu Airport,small_airport,IAL
319533,Witu Airport,small_airport,WIU
311794,Yongai Airport,small_airport,KGH
35188,Losuia Airport,small_airport,LSA
308795,Kopiago Airport,small_airport,KPA
35185,Kiunga Airport,small_airport,UNG
308592,Kanainj Airport,small_airport,KNE
35184,Kikori Airport,small_airport,KRI
60,Kerema Airport,medium_airport,KMA
308594,Kar Kar Airport,small_airport,KRX
302264,Aropa Airport,small_airport,KIE
308319,Kuri Airport,small_airport,KUQ
61,Kavieng Airport,medium_airport,KVG
31837,Londolovit Airport,small_airport,LNV
312686,Lab Lab Airport,small_airport,LAB
313841,Lowai Airport,small_airport,LWI
313927,Leron Plains Airport,small_airport,LPN
313944,Lese Airport,small_airport,LNG
313946,Long Island Airport,small_airport,LSJ
317271,Yas Island Seaplane Base,seaplane_base,AYM
314134,Manari Airport,small_airport,MRM
312797,Morobe Airport,small_airport,OBM
62,Madang Airport,medium_airport,MAG
63,Mount Hagen Kagamuga Airport,medium_airport,HGU
308188,Mougulu Airport,small_airport,GUV
64,Mendi Airport,medium_airport,MDU
65,Momote Airport,medium_airport,MAS
31981,Moro Airport,small_airport,MXH
31911,Misima Island Airport,small_airport,MIS
308796,Marawaka Airport,small_airport,MWG
316543,Nankina Airport,small_airport,NKN
308173,Negarbo(Negabo) Airport,small_airport,GBF
308139,Manguna Airport,small_airport,MFO
311620,Kasonombe Airport,small_airport,KSB
308583,Nomane Airport,small_airport,NMN
313487,Nambaiyufa Airport,small_airport,NBA
66,Nadzab Airport,medium_airport,LAE
313220,Konge Airport,small_airport,KGB
311909,Oksapmin Airport,small_airport,OKP
313218,Komako Airport,small_airport,HOC
311706,Komaio Airport,small_airport,KCJ
313288,Koroba Airport,small_airport,KDE
331003,Open Bay Airport,small_airport,OPB
311954,Pangoa Airport,small_airport,PGB
316621,Pangia Airport,small_airport,PGN
312804,Mapoda Airport,small_airport,MPF
312000,Pumani Airport,small_airport,PMN
67,Port Moresby Jacksons International Airport,large_airport,POM
312128,Sopu Airport,small_airport,SPH
312022,Sialum Airport,small_airport,SXA
307082,Rumginae Airport,small_airport,RMN
308137,Karimui Airport,small_airport,KMR
313207,Maramuni Airport,small_airport,MWI
311745,May River Airstrip,small_airport,MRH
307595,Suabi Airport,small_airport,SBE
307120,Simberi Airport,small_airport,NIS
307114,Sila Airport,small_airport,SIL
312961,Sabah Airport,small_airport,SBV
307115,Simbai Airport,small_airport,SIM
313471,Selbang Airport,small_airport,SBC
314638,Sepik Plains Airport,small_airport,SPV
315130,Sauren Airport,small_airport,SXW
313953,Masa Airport,small_airport,MBV
32451,Tari Airport,small_airport,TIZ
32425,Tabubil Airport,small_airport,TBG
307594,Tapini Airport,small_airport,TPI
68,Tokua Airport,medium_airport,RAB
307593,Tekin Airport,small_airport,TKW
309953,Tep Tep Airport,small_airport,TEP
312313,Tsewi Airport,small_airport,TSW
312249,Tarakbits Airport,small_airport,TRJ
312256,Tawa Airport,small_airport,TWY
312258,Tekadu Airport,small_airport,TKB
301673,Aiyura Airport,small_airport,AYU
312334,Umba Airport,small_airport,UMC
312379,Uroubi Airport,small_airport,URU
